String,Dim1,Dim2
She is happy,81.88588722814238,-0.4539955442062461
She feels joy,174.11936655594988,-0.5162714750534165
He is delighted,0,-0.899770483896394
They are cheerful,499.65324827701767,-0.21479879296663396
She experiences bliss,210.73530960598498,-0.6078149338689967
He is thrilled,27.166728500748285,-0.9496246344757381
They are overjoyed,536,-0.21323304282701894
She is ecstatic,113.07588369555073,-0.4096698590113601
Happiness surrounds them,488.5145603308916,-0.5427408558418894
They feel pure delight,461.6053213893821,-0.43825637721113697
The cat sleeps,326.8178671986595,0.257260444414519
The feline rests,353.80228759720734,1
The dog is napping,326.70365874803764,0.07185950283867171
The kitten dozes off,373.97985226404523,0.11040325592144984
The puppy slumbers,233.87698807500763,0.14913064500349105
He is in deep sleep,281.5983520434218,-0.11686402823379394
They are resting peacefully,455.30297102337954,-1
She yawns and stretches,93.74603318398631,-0.2580228684273176
The baby is fast asleep,310.41227136049633,-0.013165859841509087
Nighttime brings quiet dreams,71.87672046396106,-0.14890660639625974
