String,Dim1,Dim2
She is happy,536,-0.11296827876894011
He feels joy,398.6213634078012,0.19138112713927535
They are delighted,96.14194382587458,-0.1622397441953417
She is full of bliss,363.3742906400403,-0.29168634860651865
He is cheerful,0,1
They radiate positivity,29.146756698513038,-0.4930416772646343
She experiences pure happiness,237.33237554773365,0.40111187820210015
The cat sleeps,293.54672796494503,-0.6061189637004469
The dog is napping,126.63630486315638,-0.1205261436721049
She rests peacefully,314.6078586308455,-0.4328694451509756
He is in deep sleep,358.25098771639966,-0.02227389993096185
They are dozing off,535.884491056677,-1
The baby sleeps soundly,114.73888370088355,-0.8540750699465862
Nighttime brings quiet dreams,93.75475899719848,-0.7453580901856764
She reads a book,342.98455570720495,0.5896224701137314
He studies for his exam,417.4108181883485,-0.08491697249373209
They learn new concepts,517.2297967100064,-0.9286363140874242
She takes notes in class,230.690611306659,0.5045964899531268
He reviews his textbook,366.02858990015085,-0.8193379601031939
They focus on their studies,207.8005890381438,0.3506776643290579
