File Name,Phrase 1,Phrase 2,Similarity
File: Bat.txt,,,
,a bat flew out of the cave,he hit the baseball with a bat,0.45178545894129013
,a bat flew out of the cave,she didnt bat an eye at the shocking news,0.236722801035433
,a bat flew out of the cave,hes been in a batting slump lately,0.29108014697516427
,a bat flew out of the cave,the cricket player swung the bat confidently,0.4150192331795107
,a bat flew out of the cave,the vampire turned into a bat,0.6050385191320543
,a bat flew out of the cave,the team is at bat in this inning,0.38217424572503034
,a bat flew out of the cave,his joke was a bat at my intelligence,0.43883137953142903
,a bat flew out of the cave,the old house had bats in the attic,0.5485270804360565
,a bat flew out of the cave,he went to bat for his friend during the argument,0.28344158330941915
,he hit the baseball with a bat,she didnt bat an eye at the shocking news,0.27335986037937665
,he hit the baseball with a bat,hes been in a batting slump lately,0.4806057495005656
,he hit the baseball with a bat,the cricket player swung the bat confidently,0.5569339838010305
,he hit the baseball with a bat,the vampire turned into a bat,0.39707044263994695
,he hit the baseball with a bat,the team is at bat in this inning,0.48449471456962984
,he hit the baseball with a bat,his joke was a bat at my intelligence,0.42052310064048454
,he hit the baseball with a bat,the old house had bats in the attic,0.34613629349887226
,he hit the baseball with a bat,he went to bat for his friend during the argument,0.37816719640695057
,she didnt bat an eye at the shocking news,hes been in a batting slump lately,0.1757324818731514
,she didnt bat an eye at the shocking news,the cricket player swung the bat confidently,0.2586167433904838
,she didnt bat an eye at the shocking news,the vampire turned into a bat,0.24329253402460604
,she didnt bat an eye at the shocking news,the team is at bat in this inning,0.1652168873447082
,she didnt bat an eye at the shocking news,his joke was a bat at my intelligence,0.27509293533043244
,she didnt bat an eye at the shocking news,the old house had bats in the attic,0.22737430019038482
,she didnt bat an eye at the shocking news,he went to bat for his friend during the argument,0.2675521907422115
,hes been in a batting slump lately,the cricket player swung the bat confidently,0.4237165672654355
,hes been in a batting slump lately,the vampire turned into a bat,0.32002592862458673
,hes been in a batting slump lately,the team is at bat in this inning,0.4588412689667611
,hes been in a batting slump lately,his joke was a bat at my intelligence,0.32637608828141074
,hes been in a batting slump lately,the old house had bats in the attic,0.27594811579538175
,hes been in a batting slump lately,he went to bat for his friend during the argument,0.3338878877062148
,the cricket player swung the bat confidently,the vampire turned into a bat,0.3313154701225905
,the cricket player swung the bat confidently,the team is at bat in this inning,0.43126831151172823
,the cricket player swung the bat confidently,his joke was a bat at my intelligence,0.3820011134779291
,the cricket player swung the bat confidently,the old house had bats in the attic,0.3127193140707189
,the cricket player swung the bat confidently,he went to bat for his friend during the argument,0.34729097428991823
,the vampire turned into a bat,the team is at bat in this inning,0.2948752019529296
,the vampire turned into a bat,his joke was a bat at my intelligence,0.46219266594797564
,the vampire turned into a bat,the old house had bats in the attic,0.5507648261528851
,the vampire turned into a bat,he went to bat for his friend during the argument,0.2712106303263881
,the team is at bat in this inning,his joke was a bat at my intelligence,0.29301210042471065
,the team is at bat in this inning,the old house had bats in the attic,0.3122153220354083
,the team is at bat in this inning,he went to bat for his friend during the argument,0.29972604297552946
,his joke was a bat at my intelligence,the old house had bats in the attic,0.3977297564575882
,his joke was a bat at my intelligence,he went to bat for his friend during the argument,0.34715684002237257
,the old house had bats in the attic,he went to bat for his friend during the argument,0.25823710535006217
,,,
,,,
,,,
File: Break.txt,,,
,i dont want to break my phone,lets take a break before we continue,0.30934462649549294
,i dont want to break my phone,the police finally broke the case,0.23498335260412043
,i dont want to break my phone,she broke into tears,0.28867706500425944
,i dont want to break my phone,the clouds broke revealing the sun,0.22078150976084815
,i dont want to break my phone,the stock market broke a new record,0.1950911013064784
,i dont want to break my phone,he broke the silence with a joke,0.23143622272181352
,i dont want to break my phone,the prisoner broke out of jail,0.27275866341486577
,i dont want to break my phone,he broke the law and was arrested,0.2737764815843628
,i dont want to break my phone,the news broke early this morning,0.18203946176788913
,lets take a break before we continue,the police finally broke the case,0.2865331394372098
,lets take a break before we continue,she broke into tears,0.2649673009936501
,lets take a break before we continue,the clouds broke revealing the sun,0.26571549748008616
,lets take a break before we continue,the stock market broke a new record,0.23379599433135936
,lets take a break before we continue,he broke the silence with a joke,0.3170042689599414
,lets take a break before we continue,the prisoner broke out of jail,0.22391979161275055
,lets take a break before we continue,he broke the law and was arrested,0.17847433078991987
,lets take a break before we continue,the news broke early this morning,0.23949775530209194
,the police finally broke the case,she broke into tears,0.3485540645320784
,the police finally broke the case,the clouds broke revealing the sun,0.34922412241812195
,the police finally broke the case,the stock market broke a new record,0.3589683163908244
,the police finally broke the case,he broke the silence with a joke,0.2971577101751949
,the police finally broke the case,the prisoner broke out of jail,0.43315125288180695
,the police finally broke the case,he broke the law and was arrested,0.42414679645531556
,the police finally broke the case,the news broke early this morning,0.4124390369010135
,she broke into tears,the clouds broke revealing the sun,0.3921927379801207
,she broke into tears,the stock market broke a new record,0.30665491204139694
,she broke into tears,he broke the silence with a joke,0.3884286842763909
,she broke into tears,the prisoner broke out of jail,0.39177960639282094
,she broke into tears,he broke the law and was arrested,0.34939582389577517
,she broke into tears,the news broke early this morning,0.3021338320624292
,the clouds broke revealing the sun,the stock market broke a new record,0.3820677599364126
,the clouds broke revealing the sun,he broke the silence with a joke,0.3778480860050963
,the clouds broke revealing the sun,the prisoner broke out of jail,0.34975992773959375
,the clouds broke revealing the sun,he broke the law and was arrested,0.30855874940004024
,the clouds broke revealing the sun,the news broke early this morning,0.39319131995351436
,the stock market broke a new record,he broke the silence with a joke,0.326923433237952
,the stock market broke a new record,the prisoner broke out of jail,0.35331332181252734
,the stock market broke a new record,he broke the law and was arrested,0.2935987760314843
,the stock market broke a new record,the news broke early this morning,0.37470429622145257
,he broke the silence with a joke,the prisoner broke out of jail,0.349350025328434
,he broke the silence with a joke,he broke the law and was arrested,0.3617869599693716
,he broke the silence with a joke,the news broke early this morning,0.3526727270772656
,the prisoner broke out of jail,he broke the law and was arrested,0.5212743367795467
,the prisoner broke out of jail,the news broke early this morning,0.33831768980816807
,he broke the law and was arrested,the news broke early this morning,0.29181681923499747
,,,
,,,
,,,
File: Drive.txt,,,
,he drives a sports car,she has a strong drive to succeed,0.42798384363886127
,he drives a sports car,the software update requires a new hard drive,0.20017175407449272
,he drives a sports car,we took a long drive along the coast,0.3002309282347399
,he drives a sports car,he drove the nail into the wood,0.42599820664755295
,he drives a sports car,the campaign aims to drive change in society,0.20840308016408315
,he drives a sports car,his constant nagging drives me crazy,0.33235078812231184
,he drives a sports car,the company is launching a sales drive,0.36212437047716456
,he drives a sports car,the ball was driven far into the field,0.34175436748868815
,he drives a sports car,the athlete has a competitive drive,0.49878239713011085
,she has a strong drive to succeed,the software update requires a new hard drive,0.23420611204488473
,she has a strong drive to succeed,we took a long drive along the coast,0.18738194171097522
,she has a strong drive to succeed,he drove the nail into the wood,0.31743758748143597
,she has a strong drive to succeed,the campaign aims to drive change in society,0.2962712944199067
,she has a strong drive to succeed,his constant nagging drives me crazy,0.3118945071590105
,she has a strong drive to succeed,the company is launching a sales drive,0.3676826246242163
,she has a strong drive to succeed,the ball was driven far into the field,0.2619463531997764
,she has a strong drive to succeed,the athlete has a competitive drive,0.6134566412075915
,the software update requires a new hard drive,we took a long drive along the coast,0.1584615641979056
,the software update requires a new hard drive,he drove the nail into the wood,0.24573410152902714
,the software update requires a new hard drive,the campaign aims to drive change in society,0.15137327829875724
,the software update requires a new hard drive,his constant nagging drives me crazy,0.21233810591394023
,the software update requires a new hard drive,the company is launching a sales drive,0.31526862847901826
,the software update requires a new hard drive,the ball was driven far into the field,0.15368156517785547
,the software update requires a new hard drive,the athlete has a competitive drive,0.18063310299057586
,we took a long drive along the coast,he drove the nail into the wood,0.29660360749145975
,we took a long drive along the coast,the campaign aims to drive change in society,0.14684104267231812
,we took a long drive along the coast,his constant nagging drives me crazy,0.1625655172184954
,we took a long drive along the coast,the company is launching a sales drive,0.24659642155714384
,we took a long drive along the coast,the ball was driven far into the field,0.39282765606396447
,we took a long drive along the coast,the athlete has a competitive drive,0.14571103478440497
,he drove the nail into the wood,the campaign aims to drive change in society,0.18302297994078612
,he drove the nail into the wood,his constant nagging drives me crazy,0.3567014347495919
,he drove the nail into the wood,the company is launching a sales drive,0.25829926866499614
,he drove the nail into the wood,the ball was driven far into the field,0.3920498483123
,he drove the nail into the wood,the athlete has a competitive drive,0.29843123447580333
,the campaign aims to drive change in society,his constant nagging drives me crazy,0.1447974576365389
,the campaign aims to drive change in society,the company is launching a sales drive,0.42642798819578254
,the campaign aims to drive change in society,the ball was driven far into the field,0.1721690733708245
,the campaign aims to drive change in society,the athlete has a competitive drive,0.2746587218791392
,his constant nagging drives me crazy,the company is launching a sales drive,0.19317868548835296
,his constant nagging drives me crazy,the ball was driven far into the field,0.14791892818534144
,his constant nagging drives me crazy,the athlete has a competitive drive,0.2342034180526878
,the company is launching a sales drive,the ball was driven far into the field,0.2823526247606578
,the company is launching a sales drive,the athlete has a competitive drive,0.3416388940456834
,the ball was driven far into the field,the athlete has a competitive drive,0.2945189397717378
,,,
,,,
,,,
File: Fall.txt,,,
,the leaves fall in autumn,be careful not to fall on the ice,0.2822223090821481
,the leaves fall in autumn,the stock prices fell drastically,0.2704752643508465
,the leaves fall in autumn,he fell in love with her instantly,0.19241967287727546
,the leaves fall in autumn,the kingdom fell after the war,0.3256504067423035
,the leaves fall in autumn,the responsibility falls on me,0.27348361442688723
,the leaves fall in autumn,the temperature fell to freezing,0.3036492724312625
,the leaves fall in autumn,the noise level falls after midnight,0.3068853423186993
,the leaves fall in autumn,his words fall on deaf ears,0.270303643647051
,the leaves fall in autumn,she fell asleep while reading,0.24036646390070993
,be careful not to fall on the ice,the stock prices fell drastically,0.1744018611034429
,be careful not to fall on the ice,he fell in love with her instantly,0.13705754417434884
,be careful not to fall on the ice,the kingdom fell after the war,0.11575426603645415
,be careful not to fall on the ice,the responsibility falls on me,0.25394950844098785
,be careful not to fall on the ice,the temperature fell to freezing,0.37293194527517487
,be careful not to fall on the ice,the noise level falls after midnight,0.19385950718543157
,be careful not to fall on the ice,his words fall on deaf ears,0.21885480890402575
,be careful not to fall on the ice,she fell asleep while reading,0.19128551041847683
,the stock prices fell drastically,he fell in love with her instantly,0.20471181636647098
,the stock prices fell drastically,the kingdom fell after the war,0.34067904132222315
,the stock prices fell drastically,the responsibility falls on me,0.12808829142973757
,the stock prices fell drastically,the temperature fell to freezing,0.36652351063890387
,the stock prices fell drastically,the noise level falls after midnight,0.24129966937119743
,the stock prices fell drastically,his words fall on deaf ears,0.23883626386909435
,the stock prices fell drastically,she fell asleep while reading,0.2091798463763565
,he fell in love with her instantly,the kingdom fell after the war,0.2195580151419679
,he fell in love with her instantly,the responsibility falls on me,0.13871445393990306
,he fell in love with her instantly,the temperature fell to freezing,0.18867175536164418
,he fell in love with her instantly,the noise level falls after midnight,0.07778458047183312
,he fell in love with her instantly,his words fall on deaf ears,0.22721985264496256
,he fell in love with her instantly,she fell asleep while reading,0.373889499142264
,the kingdom fell after the war,the responsibility falls on me,0.17275227209448094
,the kingdom fell after the war,the temperature fell to freezing,0.2518599258067142
,the kingdom fell after the war,the noise level falls after midnight,0.22935298677114663
,the kingdom fell after the war,his words fall on deaf ears,0.2859601026957358
